Cores: 8, Threads: 8, Image: 1892x1200.png, Time: 4.2516 sec
Cores: 8, Threads: 8, Image: 1892x1200.png, Time: 4.2080 sec
Cores: 8, Threads: 8, Image: 1892x1200.png, Time: 4.4013 sec
Cores: 8, Threads: 8, Image: 1892x1200.png, Time: 4.8227 sec
Cores: 8, Threads: 8, Image: 1892x1200.png, Time: 4.2142 sec
Cores: 8, Threads: 8, Image: 1892x1200.png, Time: 5.2288 sec
Cores: 4, Threads: 4, Image: 3712x2160.png, Time: 25.5634 sec
Cores: 4, Threads: 4, Image: 3712x2160.png, Time: 29.0793 sec
Cores: 4, Threads: 4, Image: 1892x1200.png, Time: 2.8183 sec
Cores: 4, Threads: 4, Image: 1892x1200.png, Time: 2.8185 sec
Cores: 4, Threads: 4, Image: 1892x1200.png, Time: 2.6717 sec
Cores: 2, Threads: 2, Image: 1892x1200.png, Time: 2.6561 sec
Cores: 8, Threads: 8, Image: 3712x2160.png, Time: 36.7685 sec
Cores: 1, Threads: 1, Image: 1892x1200.png, Time: 1.8410 sec
Cores: 2, Threads: 2, Image: 1892x1200.png, Time: 2.6076 sec
Cores: 2, Threads: 2, Image: 1892x1200.png, Time: 2.6275 sec
Cores: 2, Threads: 2, Image: 1892x1200.png, Time: 2.6528 sec
Cores: 2, Threads: 2, Image: 1892x1200.png, Time: 2.7250 sec

Cores: 1, Threads: 1, Image: 1892x1200.png, Time: 1.8158 sec
Cores: 1, Threads: 1, Image: 1892x1200.png, Time: 1.7967 sec
Cores: 2, Threads: 2, Image: 3712x2160.png, Time: 21.6752 sec
Cores: 4, Threads: 4, Image: 1892x1200.png, Time: 2.7704 sec
Cores: 8, Threads: 8, Image: 1892x1200.png, Time: 4.4450 sec
Cores: 4, Threads: 4, Image: 1892x1200.png, Time: 2.8338 sec
Cores: 8, Threads: 8, Image: 1892x1200.png, Time: 4.9288 sec
Cores: 8, Threads: 8, Image: 1892x1200.png, Time: 4.2285 sec
Cores: 1, Threads: 1, Image: 1892x1200.png, Time: 1.8153 sec
Cores: 1, Threads: 1, Image: 1892x1200.png, Time: 1.8170 sec
Cores: 8, Threads: 8, Image: 3712x2160.png, Time: 50.7761 sec
Cores: 8, Threads: 8, Image: 3712x2160.png, Time: 55.8261 sec
Cores: 2, Threads: 2, Image: 3712x2160.png, Time: 23.4149 sec
Cores: 4, Threads: 4, Image: 3712x2160.png, Time: 25.3233 sec
Cores: 2, Threads: 2, Image: 1892x1200.png, Time: 2.5972 sec
Cores: 2, Threads: 2, Image: 1892x1200.png, Time: 2.5731 sec
Cores: 2, Threads: 2, Image: 1892x1200.png, Time: 2.5961 sec
Cores: 2, Threads: 2, Image: 1892x1200.png, Time: 2.6780 sec

Cores: 4, Threads: 4, Image: 3712x2160.png, Time: 31.4399 sec
Cores: 1, Threads: 1, Image: 1892x1200.png, Time: 1.8476 sec
Cores: 1, Threads: 1, Image: 1892x1200.png, Time: 1.8327 sec
Cores: 1, Threads: 1, Image: 1892x1200.png, Time: 1.8457 sec
Cores: 1, Threads: 1, Image: 1892x1200.png, Time: 1.9721 sec
Cores: 1, Threads: 1, Image: 1892x1200.png, Time: 1.9720 sec
Cores: 2, Threads: 2, Image: 1892x1200.png, Time: 2.6542 sec

Cores: 2, Threads: 2, Image: 1892x1200.png, Time: 2.6614 sec
Cores: 2, Threads: 2, Image: 1892x1200.png, Time: 2.7638 sec
Cores: 2, Threads: 2, Image: 1892x1200.png, Time: 2.6189 sec
Cores: 1, Threads: 1, Image: 1892x1200.png, Time: 1.8088 sec
Cores: 1, Threads: 1, Image: 1892x1200.png, Time: 2.0625 sec

Cores: 1, Threads: 1, Image: 1892x1200.png, Time: 2.0559 sec

Cores: 1, Threads: 1, Image: 1892x1200.png, Time: 1.8934 sec

Cores: 1, Threads: 1, Image: 1892x1200.png, Time: 1.8924 sec

Cores: 4, Threads: 4, Image: 3712x2160.png, Time: 25.8123 sec
Cores: 4, Threads: 4, Image: 3712x2160.png, Time: 25.7245 sec
Cores: 8, Threads: 8, Image: 3712x2160.png, Time: 48.6457 sec
Cores: 8, Threads: 8, Image: 3712x2160.png, Time: 47.4048 sec
Cores: 2, Threads: 2, Image: 3712x2160.png, Time: 21.7718 sec
Cores: 8, Threads: 8, Image: 3712x2160.png, Time: 42.7169 sec
Cores: 2, Threads: 2, Image: 1892x1200.png, Time: 2.6425 sec
Cores: 2, Threads: 2, Image: 1892x1200.png, Time: 2.6549 sec

Cores: 2, Threads: 2, Image: 1892x1200.png, Time: 2.6252 sec
Cores: 2, Threads: 2, Image: 1892x1200.png, Time: 2.7458 sec
Cores: 2, Threads: 2, Image: 3712x2160.png, Time: 24.1285 sec
